Entidad Federativa,CFR (%)
GUERRERO,9.040880503144653
BAJA CALIFORNIA,8.692933083176985
QUINTANA ROO,8.46376811594203
TAMAULIPAS,8.006962576153178
MICHOACÁN DE OCAMPO,7.634194831013917
MORELOS,6.541019955654102
NUEVO LEÓN,6.417590275294958
COLIMA,6.343506882106523
SAN LUIS POTOSÍ,5.772931366260424
SINALOA,5.58659217877095
CHIHUAHUA,5.418250950570342
OAXACA,5.252225519287833
NAYARIT,5.236811705814401
JALISCO,5.153977758768178
GUANAJUATO,5.145754119138149
SONORA,5.070842654735272
TABASCO,4.622222222222222
VERACRUZ DE IGNACIO DE LA LLAVE,4.502936697846422
BAJA CALIFORNIA SUR,4.440720569752828
ZACATECAS,4.098360655737705
CAMPECHE,3.667262969588551
HIDALGO,3.666724048889654
AGUASCALIENTES,3.5585353274883964
QUERÉTARO,3.4402436839276116
MÉXICO,3.417361037865204
COAHUILA DE ZARAGOZA,3.375527426160337
CHIAPAS,2.2352315061202765
TLAXCALA,2.210386151797603
PUEBLA,1.879260578517472
YUCATÁN,1.5974967061923584
DURANGO,1.4105419450631032
CIUDAD DE MÉXICO,1.4044703262824356
